X	Y	FID	ID	Location_o	Area_	Managed_By	Playground	AGE_GROUP	List_of_Eq	Liosta_Tre	List_of_00	PUBLIC_TOI	OPENING_HO	PARKING	PHOTO
-986228	7077646	48	49	 Tuam  (Tirboy Housing Estate) Tuaim (Clós Súgartha ag an Tír Bhuí)	North Galway - Tuam	Galway County Council	"Tirboy Housing Estate, Tuam"	 	"Multiplay – Toddler, Play Cabin, Rocker – 2 Seat, Rocker – Horse,  Rocker – Horse – 2 Seat, Rotator – Bowl, Swing – Mixed – 2 Bay – 4 Seat"	"Aonad Ilspraoi Lapadáin, Teach Spraoi, Luascaire, Luascáin, srl."	None specified.	NO	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/49.jpg
-984997	7080303	49	50	"Tuam (Palace Grounds)  Tuaim (Fearann an Pháláis, Tuaim)"	North Galway - Tuam	Galway County Council	"Palace Grounds, (near Swimming Pool), Tuam"	02 to 06 Years	"Balance Beams x 2, Carousel, Multiplay, Rocker – Blazer – 3way, Rocker - SeeSaw - Double, Rotator – bowl, Rotator – Spica, Seat – train, Slide, Junior & Toddler Swings, Blazer, Junior Spika"	"Bíoma, Aonad Ilspraoi, Luascaire, Maide Corrach, Traein,  Sleamhnán,Luascáin (Sóisearach agus Lapadáin), srl."	None specified	NO	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/50.jpg
-985051	7078531	50	51	"Tuam (Neighbourhood Park And Play) Tuaim (Páirc & Clós Súgartha Comharsanachta, Bóthar Bhaile Átha Chliath, Tuaim"	North Galway - Tuam	Galway County Council	"Neighbourhood Park, Dublin Road, Tuam"	 	"Balance Beams, Twin Beams, Climber – Ladder – Overhead, MUGA, Multiplay – With Slide"	"Bíoma, Dreapadóir le Dréimire, MUGA, Aonad Ilspraoi le Sleamhnán"	Toddler Swings	NO	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/51.jpg
-915074	7043030	51	52	Ballinasloe (Meadowbrook Estate) Béal Átha na Sluaighe (Eastát Meadowbrook)	East Galway-Ballinasloe	Ballinasloe Town Council	"Meadowbrook Estate, Ballinasloe"	1-12 Years	"Spica, Rocker, See Saw (2 Seats) and Slide"	"Spica, Luascaire, Maide Corrach le Sleamhnán"	None Specified	NO	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/52.jpg
-915745	7043646	52	53	 Ballinasloe (Hymany) Béal Átha na Sluaighe (Ó Máine)	East Galway-Ballinasloe	Ballinasloe Town Council	"Hymany, Ballinasloe"	1-12 Years	"Swing, Swing with Cradle seats, Roundabout, Spring See-Saw x 2, Climbing Combination, Slide, Balancing Cable"	"Luascán Cliabháin, Luascáin, Timpeallán, Maide Corrach,  Aonad Dreapadóir, Sleamhnán, srl."	Not Specified	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/53.jpg
-916696	7044883	53	54	Ballinasloe (Rear of Leisure Centre) Béal Átha na Sluaighe (Cúl Ionad Fóillíochta)	East Galway-Ballinasloe	Ballinasloe Town Council	Rear of Ballinasloe Leisure Centre	1-12 Years	"Blazer  & Stinger Springer, Challenger Climber and  Slide, Crazy Gander, Double Shifter, 2 Bay Flat Swings, 2 Bay Cradle Swings, Super Nova, Kuma Climber, Argo Wobble Seat, Spica X 2, Rotator Bowl, Basket Swing, Junior Multiplay"	"Dreapadóir le Sleamhnán, Luascán Cothrom, Luascáin, Super Nova, Spica,  Ciseán Luascadh, Aonad Ilspraoi Sóisearach, srl."	None Specified	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/54.jpg
-926119	7039318	54	55	Aughrim / Eachroim	East Galway-Ballinasloe	Aughrim Development Company Ltd	Aughrim	02 to 12	"Slide, Cradle Swings, Roundabout, Overhead Bars, Flat Swings, Seesaw, Multi Play and Slide, Basket     Swing"	"Sleamhnán, Luascáin, Timpeallán, Luascán Cothrom, Maide Corrach, Aonad Ilspraoi le Sleamhnán, Ciseán Luascadh, srl."	None specified	No	Daylight Hours	YES	http://www.galway.ie/gis/playgrounds/55.jpg
-995446	7008756	55	56	Kinvara (Cinn Mhara)	South Galway - Loughrea	St. Josephs National School	"Convent Road, Kinvara"	0 to 16	"Catria Climbing Unit, Spinner Bowl, Supernova,  2 Seat Spring Seesaw, Slide Unit, Junior Spika, Flat Seat Swing, Stepping Stones, Tarzan Traverse, Up and Over Ramp, Overhead Bar Unit, Junior Swings and Basket Swings"	"Aonad Dreapadóir, Babhla Rothlaithe, Supernova, Maide Corrach,  Aonad Sleamhnán, Lapadáin Spika, Luascán Cothrom,  Luascáin (Sóisearach), Ciseán Luascadh , srl."	None specified	No	Daylight Hours	NO	http://www.galway.ie/gis/playgrounds/56.jpg
-912590	7043853	56	57	Ballinasloe (Kilgarve)  Béal Átha na Sluaighe	East Galway-Ballinasloe	Ballinasloe Town Council	Kilgarve	 	 	 	 	 	 	 	http://www.galway.ie/gis/playgrounds/57.jpg
-935460	7044542	57	58	Kilconnell (Cill Chonaill)	East Galway-Ballinasloe	Kilconnell Community Development Association Ltd.	Kilconnell	 	 	 	 	 	 	 	http://www.galway.ie/gis/playgrounds/58.jpg
-1019507.434	7029967.954	58	58	Bearna	Bearna	Comhar Chumann Bearna Teoranta	Comhar Chumann Bearna Teoranta	01 to 12	"Giro Spiral, Basket Swing, Toddler Multiplayunit, Play Truck, Seesaw,  Swing Basket, Junior Swings and Toddler Swings."	"Giro Spiral, Ciseán Luascadh, Aonad Ilspraoi Lapadáin,  Luascán Cothrom, Luascán Cliabháin,  Timpeallán, Painéal Spraoi, Aonad Báid, Luascaire"	Basket Swing	Yes	Daylight Hours	Yes	
-986335.7124	7064287.724	59	59	Corofin GAA Pitch	Corofin	Corofin Community Development Association	Corofin Community Development Association	02 to 12	"Cableway, Carousels, Climber, Junior Multiplay Unit, with Slide, Senior Multiplay Unit, Play Panels, Play Train, Seesaw, Rotator – Bowl, Basket Swing, Junior Swing, Mixed Swing."	"Rúidchosán Cábla,    Dreapadóir, Aonad Ilspraoi Sóisearach le Sleamhnán, Aonad Ilspraoi Sinsearch, Painéal Spraoi, Traein Spraoi, Maide Corrach, Babhla Rothlaithe, Ciseán Luascadh, Luascáin Soisearach agus Luascáin ilchineálach."	Basket Swing	Yes	Daylight Hours	Yes	
-936163.9725	7033072.932	61	61	Cappataggle	Cappataggle	Cappataggle Association for Recreation and Sport (CARS)	Cappataggle Association for Recreation and Sport (CARS)	01 to 12	"Tunnel, Toddler Unit, See Saw, Seat Rocker, Embankment Slide, Cradle Swings, Dish Rotator, Super Nova, Basket Swing and Flat Swings"	"""Tollán, Aonad Ilspraoi Lapadáin, Maide Corrach,  Luascaire, Sleamhnán Claífoirt, Luascán Cliabháin,  Super Nova, Ciseán Luascadh agus Luascán Cothrom """	Basket Swing	Yes	Daylight Hours		
-933868.3577	7054664.329	62	62	"Ballydoogan, Fohenagh, Ahascragh Ballinasloe"	Fohenagh	"Fohenagh, Killure, Kilgerril  Community Council"	"Fohenagh, Killure, Kilgerril  Community Council"	01 to 12	"Cableway, Rocker, Seesaw, Slide, Swing Basket, Junior     Swing, Toddler, Swing,"	"Rúidchosán Cábla, Luascaire, Sleamhnán, Ciseán Luascadh, Luascán Sóisearach, Luascán Lapadáin"	Basket Swing	Yes	Daylight Hours	Yes	
-959693.3229	7039886.154	63	63	Killimordaly	Killimordaly	Killimordaly Community Centre	Killimordaly Community Centre	01 to 12	"Cableway, Carousel, Junior Multiplay Unit, Toddler,             Multiplay Unit, Play Truck, Seesaw,  Swing Basket, Junior Swings and Toddler Swings."	"Rúidchosán Cábla, Timpeallán,  Aonad Ilspraoi, Sóisearach, Aonad Ilspraoi Lapadáin,  Trucail Spraoi,  Maide Corrach, Ciseán Luascadh, Luascán Sóisearach agus Luascán Lapadáin."	Basket Swing	Yes	Daylight Hours	Yes	
